Name,Place,Type,Price,ReviewsCount,Rating,City,State
Stayokay Hostel Maastricht,"Jekerkwartier, Maastricht",6 Person Room with Private Bathroom and Shower,"₹ 14,696",500,8.3,Jekerkwartier, Maastricht
Dormio Resort Maastricht Apartments,Maastricht,Comfort One-Bedroom Apartment,"₹ 15,443",967,8.4,Maastricht,
Dormio Hotel De Prins van Oranje,Maastricht,Deluxe Twin Room,"₹ 18,459",1149,8.3,Maastricht,
Dormio Resort Maastricht,Maastricht,Comfort Two-Bedroom House,"₹ 20,569",715,8.2,Maastricht,
Townhouse Apartments,"Wijck, Maastricht",Large Studio Apartment,"₹ 22,048",500,8.1,Wijck, Maastricht
Kaboom Hotel Maastricht,"Wijck, Maastricht",Comfort Quadruple Room,"₹ 22,725",3193,8.1,Wijck, Maastricht
easyHotel Maastricht City Centre,"Maastricht City Centre, Maastricht",Triple Room,"₹ 24,819",3576,8,Maastricht City Centre, Maastricht
"city Apartment ""Op de Thermen""","Maastricht City Centre, Maastricht",Two-Bedroom Apartment,"₹ 30,616",98,8.2,Maastricht City Centre, Maastricht
Hotel Monastère Maastricht,"Boschstraatkwartier, Maastricht",Twin Room,"₹ 32,443",3772,8,Boschstraatkwartier, Maastricht
Townhouse Design Hotel & Spa,"Wijck, Maastricht",Large Double Room,"₹ 23,440",2655,7.9,Wijck, Maastricht
Bastion Hotel Maastricht Centrum,"Boschstraatkwartier, Maastricht",Deluxe King Room,"₹ 25,228",500,7.5,Boschstraatkwartier, Maastricht
Derlon Hotel Maastricht,"Maastricht City Centre, Maastricht",Deluxe Twin or Double Room,"₹ 33,970",1223,7.9,Maastricht City Centre, Maastricht
NH Maastricht,"Randwijck, Maastricht",Standard Double or Twin Room,"₹ 52,252",500,7.9,Randwijck, Maastricht
"Crowne Plaza Maastricht, an IHG Hotel","Wijck, Maastricht",Executive King Room,"₹ 53,439",2510,7.6,Wijck, Maastricht
Botel Maastricht,"Jekerkwartier, Maastricht",Family Room (6 Adults) with Shared Shower and Toilet,"₹ 30,534",1342,6.7,Jekerkwartier, Maastricht
Bed & Breakfast Adrichem en Scherpenseel,Middelburg,Forsyth,"₹ 10,385",232,9.2,Middelburg,
B&B Montancourt-Middelburg,Middelburg,Twin Room,"₹ 10,614",372,9,Middelburg,
Logement 't Oude Bierhuys,Middelburg,Double Room,"₹ 11,022",817,9.1,Middelburg,
Logies aan de Dam,Middelburg,Deluxe Room,"₹ 11,430",3,9.3,Middelburg,
B&B 't Poorthuys,Middelburg,Junior Suite,"₹ 11,512",651,9.4,Middelburg,
Budget Hotel Le Beau Rivage,Middelburg,Small Double Room with Shower ,"₹ 12,165",394,9.3,Middelburg,
Hotel Le Beau Rivage,Middelburg,Superior Double Room,"₹ 15,920",278,9.2,Middelburg,
Boutique Hotel De Vier Patriciërs,Middelburg,Deluxe Room,"₹ 20,329",192,9.3,Middelburg,
Hotel Bruno,Middelburg,Budget Twin Room,"₹ 6,940",528,8.6,Middelburg,
Studio 82 b,Middelburg,One-Bedroom Apartment,"₹ 7,095",51,8.5,Middelburg,
Studio 82 a,Middelburg,One-Bedroom Apartment,"₹ 8,487",64,8.5,Middelburg,
Cleen Rochelle,Middelburg,Deluxe Studio,"₹ 8,899",78,8.5,Middelburg,
Stadsstudio 't Stadshuys in hartje Middelburg,Middelburg,One-Bedroom Apartment,"₹ 9,552",5,8.6,Middelburg,
Logement de Spaerpot,Middelburg,Double Room with Private Bathroom,"₹ 9,797",164,8.9,Middelburg,
Loskade 45,Middelburg,Deluxe Double Room with Balcony,"₹ 12,165",1050,8.9,Middelburg,
